AREA,2023,년인구
SEOUL,9386034,
BUSAN,3293362,
DAEGU,2374960,
INCHEON,2997410,
GWANGJU,1419237,
DAEJEON,1442216,
ULSAN,1103661,
SEJONG,386525,
GYEONGGI,13630821,
GANGWON,1527807,
CHUNGBUK,1593469,
CHUNGNAM,2130119,
JEONBUK,1754757,
JEONNAM,1804217,
GYEONGBUK,2554324,
GYEONGNAM,3251158,
JEJU,675252,
