AREA,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
198237,,,,,,,,,,,,,,,,,
255586.5,,,,,,,,,,,,,,,,,
222095.5,,,,,,,,,,,,,,,,,
204065.5,,,,,,,,,,,,,,,,,
317851.5,,,,,,,,,,,,,,,,,
420315.5,,,,,,,,,,,,,,,,,
73136,,,,,,,,,,,,,,,,,
1580207,,,,,,,,,,,,,,,,,
463869,,,,,,,,,,,,,,,,,
324526.5,,,,,,,,,,,,,,,,,
414116,,,,,,,,,,,,,,,,,
209272,,,,,,,,,,,,,,,,,
218460.5,,,,,,,,,,,,,,,,,
156380.5,,,,,,,,,,,,,,,,,
18976,,,,,,,,,,,,,,,,,
1752551,,,,,,,,,,,,,,,,,
174559.5,,,,,,,,,,,,,,,,,
194998.5,,,,,,,,,,,,,,,,,
252964,,,,,,,,,,,,,,,,,
217315.5,,,,,,,,,,,,,,,,,
200970,,,,,,,,,,,,,,,,,
310579.5,,,,,,,,,,,,,,,,,
412585,,,,,,,,,,,,,,,,,
74031.5,,,,,,,,,,,,,,,,,
1555051.5,,,,,,,,,,,,,,,,,
457189,,,,,,,,,,,,,,,,,
318298,,,,,,,,,,,,,,,,,
412461,,,,,,,,,,,,,,,,,
205988,,,,,,,,,,,,,,,,,
213820,,,,,,,,,,,,,,,,,
155404,,,,,,,,,,,,,,,,,
26948,,,,,,,,,,,,,,,,,
1746909,,,,,,,,,,,,,,,,,
171469,,,,,,,,,,,,,,,,,
192635.5,,,,,,,,,,,,,,,,,
250723.5,,,,,,,,,,,,,,,,,
213879,,,,,,,,,,,,,,,,,
199620,,,,,,,,,,,,,,,,,
304498.5,,,,,,,,,,,,,,,,,
406941.5,,,,,,,,,,,,,,,,,
75683.5,,,,,,,,,,,,,,,,,
1529163,,,,,,,,,,,,,,,,,
451338,,,,,,,,,,,,,,,,,
314215.5,,,,,,,,,,,,,,,,,
411173,,,,,,,,,,,,,,,,,
202878.5,,,,,,,,,,,,,,,,,
209979,,,,,,,,,,,,,,,,,
154027.5,,,,,,,,,,,,,,,,,
34136,,,,,,,,,,,,,,,,,
1752247,,,,,,,,,,,,,,,,,
169556.5,,,,,,,,,,,,,,,,,
190997.5,,,,,,,,,,,,,,,,,
249453.5,,,,,,,,,,,,,,,,,
211192,,,,,,,,,,,,,,,,,
198418,,,,,,,,,,,,,,,,,
298866.5,,,,,,,,,,,,,,,,,
402222.5,,,,,,,,,,,,,,,,,
77577,,,,,,,,,,,,,,,,,
1509035,,,,,,,,,,,,,,,,,
443933.5,,,,,,,,,,,,,,,,,
310699.5,,,,,,,,,,,,,,,,,
408534.5,,,,,,,,,,,,,,,,,
199726.5,,,,,,,,,,,,,,,,,
206987,,,,,,,,,,,,,,,,,
151439,,,,,,,,,,,,,,,,,
39217,,,,,,,,,,,,,,,,,
1757272.5,,,,,,,,,,,,,,,,,
167806.5,,,,,,,,,,,,,,,,,
189198.5,,,,,,,,,,,,,,,,,
248650,,,,,,,,,,,,,,,,,
207604,,,,,,,,,,,,,,,,,
195881.5,,,,,,,,,,,,,,,,,
292419.5,,,,,,,,,,,,,,,,,
397194.5,,,,,,,,,,,,,,,,,
79363.5,,,,,,,,,,,,,,,,,
1497466,,,,,,,,,,,,,,,,,
435115.5,,,,,,,,,,,,,,,,,
307123.5,,,,,,,,,,,,,,,,,
404823.5,,,,,,,,,,,,,,,,,
197335.5,,,,,,,,,,,,,,,,,
203529,,,,,,,,,,,,,,,,,
147947,,,,,,,,,,,,,,,,,
44274.5,,,,,,,,,,,,,,,,,
1765728.5,,,,,,,,,,,,,,,,,
165132,,,,,,,,,,,,,,,,,
187409,,,,,,,,,,,,,,,,,
247223.5,,,,,,,,,,,,,,,,,
202932.5,,,,,,,,,,,,,,,,,
192290.5,,,,,,,,,,,,,,,,,
284880,,,,,,,,,,,,,,,,,
390707,,,,,,,,,,,,,,,,,
80804.5,,,,,,,,,,,,,,,,,
1489000,,,,,,,,,,,,,,,,,
424392,,,,,,,,,,,,,,,,,
300722.5,,,,,,,,,,,,,,,,,
399523,,,,,,,,,,,,,,,,,
194970.5,,,,,,,,,,,,,,,,,
199120.5,,,,,,,,,,,,,,,,,
143373,,,,,,,,,,,,,,,,,
48013.5,,,,,,,,,,,,,,,,,
1770081,,,,,,,,,,,,,,,,,
161813.5,,,,,,,,,,,,,,,,,
184695.5,,,,,,,,,,,,,,,,,
242830,,,,,,,,,,,,,,,,,
197093.5,,,,,,,,,,,,,,,,,
186585,,,,,,,,,,,,,,,,,
276073.5,,,,,,,,,,,,,,,,,
380622,,,,,,,,,,,,,,,,,
80803,,,,,,,,,,,,,,,,,
1480484.5,,,,,,,,,,,,,,,,,
413372.5,,,,,,,,,,,,,,,,,
292895.5,,,,,,,,,,,,,,,,,
390818.5,,,,,,,,,,,,,,,,,
191886.5,,,,,,,,,,,,,,,,,
194678.5,,,,,,,,,,,,,,,,,
137326.5,,,,,,,,,,,,,,,,,
49575.5,,,,,,,,,,,,,,,,,
1768489.5,,,,,,,,,,,,,,,,,
158424.5,,,,,,,,,,,,,,,,,
180796.5,,,,,,,,,,,,,,,,,
235672.5,,,,,,,,,,,,,,,,,
190752.5,,,,,,,,,,,,,,,,,
179415.5,,,,,,,,,,,,,,,,,
264515,,,,,,,,,,,,,,,,,
365645,,,,,,,,,,,,,,,,,
79828,,,,,,,,,,,,,,,,,
1462661.5,,,,,,,,,,,,,,,,,
402457,,,,,,,,,,,,,,,,,
284363,,,,,,,,,,,,,,,,,
382382.5,,,,,,,,,,,,,,,,,
188524.5,,,,,,,,,,,,,,,,,
191160.5,,,,,,,,,,,,,,,,,
130694,,,,,,,,,,,,,,,,,
50046.5,,,,,,,,,,,,,,,,,
1765003,,,,,,,,,,,,,,,,,
154875,,,,,,,,,,,,,,,,,
176537.5,,,,,,,,,,,,,,,,,
228673.5,,,,,,,,,,,,,,,,,
184982,,,,,,,,,,,,,,,,,
172546.5,,,,,,,,,,,,,,,,,
253220,,,,,,,,,,,,,,,,,
348529,,,,,,,,,,,,,,,,,
78840.5,,,,,,,,,,,,,,,,,
1439908,,,,,,,,,,,,,,,,,
389674,,,,,,,,,,,,,,,,,
274079.5,,,,,,,,,,,,,,,,,
376389,,,,,,,,,,,,,,,,,
183792,,,,,,,,,,,,,,,,,
187541,,,,,,,,,,,,,,,,,
123987,,,,,,,,,,,,,,,,,
50024.5,,,,,,,,,,,,,,,,,
1739386,,,,,,,,,,,,,,,,,
151329,,,,,,,,,,,,,,,,,
171587.5,,,,,,,,,,,,,,,,,
221989,,,,,,,,,,,,,,,,,
178683.5,,,,,,,,,,,,,,,,,
166300.5,,,,,,,,,,,,,,,,,
242252,,,,,,,,,,,,,,,,,
330318,,,,,,,,,,,,,,,,,
76909.5,,,,,,,,,,,,,,,,,
1425379,,,,,,,,,,,,,,,,,
377598,,,,,,,,,,,,,,,,,
