AGE,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
20_,1324322,1377757,1381373,1427285,1574716,1618245,1672048,1748046,1763178,1819000,1855000,1998000,2152000,2143000,2183000,2301000,2498000
25_,1631600,1740971,1756874,1841398,1941567,2017468,2087441,2192116,2218486,2282000,2352000,2466000,2583000,2618000,2708000,2839000,2998000
30_,2061832,2208656,2179924,2275741,2347959,2421873,2480102,2631297,2652619,2718000,2814000,2928000,3010000,3057000,3165000,3301000,3474000
35_,2383873,2531150,2512226,2613082,2690131,2821803,2866695,3012983,3070185,3115000,3212000,3333000,3442000,3495000,3653000,3803000,4033000
